 , , , , 
KSLC Downscaled SREF Init: 2020-06-16 0900 UTC, PoP (%), PQPF 10/50/90 (in), PoS (%), PQSF 10/50/90 (in)
Period 1 (2020-06-16 18:00:00 – 2020-06-17 00:00:00), 42,  0.000   0.000   0.040, 0,  0.000   0.000   0.000
Period 2 (2020-06-18 00:00:00 – 2020-06-18 00:00:00), 92,  0.009   0.074   0.303, 0,  0.000   0.000   0.000
 , , , , 
KSLC Downscaled SREF Init: 2020-06-16 0300 UTC, PoP (%), PQPF 10/50/90 (in), PoS (%), PQSF 10/50/90 (in)
Period 1 (2020-06-16 18:00:00 – 2020-06-17 00:00:00), 27,  0.000   0.000   0.020, 0,  0.000   0.000   0.000
Period 2 (2020-06-18 00:00:00 – 2020-06-18 00:00:00), 81,  0.000   0.058   0.157, 0,  0.000   0.000   0.000
 , , , , 
KSLC Downscaled SREF Init: 2020-06-15 2100 UTC, PoP (%), PQPF 10/50/90 (in), PoS (%), PQSF 10/50/90 (in)
Period 1 (2020-06-16 18:00:00 – 2020-06-17 00:00:00), 46,  0.000   0.000   0.040, 0,  0.000   0.000   0.000
Period 2 (2020-06-18 00:00:00 – 2020-06-18 00:00:00), 54,  0.000   0.012   0.135, 0,  0.000   0.000   0.000
 , , , , 
KSLC Downscaled SREF Init: 2020-06-15 1500 UTC, PoP (%), PQPF 10/50/90 (in), PoS (%), PQSF 10/50/90 (in)
Period 1 (2020-06-15 18:00:00 – 2020-06-16 00:00:00), 0,  0.000   0.000   0.000, 0,  0.000   0.000   0.000
Period 2 (2020-06-17 00:00:00 – 2020-06-17 00:00:00), 38,  0.000   0.000   0.021, 0,  0.000   0.000   0.000
 , , , , 
KSLC Downscaled SREF Init: 2020-06-15 0900 UTC, PoP (%), PQPF 10/50/90 (in), PoS (%), PQSF 10/50/90 (in)
Period 1 (2020-06-15 18:00:00 – 2020-06-16 00:00:00), 0,  0.000   0.000   0.000, 0,  0.000   0.000   0.000
Period 2 (2020-06-17 00:00:00 – 2020-06-17 00:00:00), 38,  0.000   0.000   0.033, 0,  0.000   0.000   0.000
 , , , , 
KSLC Downscaled SREF Init: 2020-06-15 0300 UTC, PoP (%), PQPF 10/50/90 (in), PoS (%), PQSF 10/50/90 (in)
Period 1 (2020-06-15 18:00:00 – 2020-06-16 00:00:00), 0,  0.000   0.000   0.000, 0,  0.000   0.000   0.000
Period 2 (2020-06-17 00:00:00 – 2020-06-17 00:00:00), 23,  0.000   0.000   0.018, 0,  0.000   0.000   0.000
 , , , , 
KSLC Downscaled SREF Init: 2020-06-14 2100 UTC, PoP (%), PQPF 10/50/90 (in), PoS (%), PQSF 10/50/90 (in)
Period 1 (2020-06-15 18:00:00 – 2020-06-16 00:00:00), 0,  0.000   0.000   0.000, 0,  0.000   0.000   0.000
Period 2 (2020-06-17 00:00:00 – 2020-06-17 00:00:00), 38,  0.000   0.000   0.049, 0,  0.000   0.000   0.000
 , , , , 
KSLC Downscaled SREF Init: 2020-06-14 1500 UTC, PoP (%), PQPF 10/50/90 (in), PoS (%), PQSF 10/50/90 (in)
Period 1 (2020-06-14 18:00:00 – 2020-06-15 00:00:00), 0,  0.000   0.000   0.000, 0,  0.000   0.000   0.000
Period 2 (2020-06-16 00:00:00 – 2020-06-16 00:00:00), 0,  0.000   0.000   0.000, 0,  0.000   0.000   0.000
 , , , , 
KSLC Downscaled SREF Init: 2020-06-14 0900 UTC, PoP (%), PQPF 10/50/90 (in), PoS (%), PQSF 10/50/90 (in)
Period 1 (2020-06-14 18:00:00 – 2020-06-15 00:00:00), 0,  0.000   0.000   0.000, 0,  0.000   0.000   0.000
Period 2 (2020-06-16 00:00:00 – 2020-06-16 00:00:00), 0,  0.000   0.000   0.000, 0,  0.000   0.000   0.000
 , , , , 
KSLC Downscaled SREF Init: 2020-06-14 0300 UTC, PoP (%), PQPF 10/50/90 (in), PoS (%), PQSF 10/50/90 (in)
Period 1 (2020-06-14 18:00:00 – 2020-06-15 00:00:00), 0,  0.000   0.000   0.000, 0,  0.000   0.000   0.000
Period 2 (2020-06-16 00:00:00 – 2020-06-16 00:00:00), 0,  0.000   0.000   0.000, 0,  0.000   0.000   0.000
 , , , , 
KSLC Downscaled SREF Init: 2020-06-13 2100 UTC, PoP (%), PQPF 10/50/90 (in), PoS (%), PQSF 10/50/90 (in)
Period 1 (2020-06-14 18:00:00 – 2020-06-15 00:00:00), 0,  0.000   0.000   0.000, 0,  0.000   0.000   0.000
Period 2 (2020-06-16 00:00:00 – 2020-06-16 00:00:00), 0,  0.000   0.000   0.000, 0,  0.000   0.000   0.000
 , , , , 
KSLC Downscaled SREF Init: 2020-06-13 1500 UTC, PoP (%), PQPF 10/50/90 (in), PoS (%), PQSF 10/50/90 (in)
Period 1 (2020-06-13 18:00:00 – 2020-06-14 00:00:00), 0,  0.000   0.000   0.000, 0,  0.000   0.000   0.000
Period 2 (2020-06-15 00:00:00 – 2020-06-15 00:00:00), 0,  0.000   0.000   0.000, 0,  0.000   0.000   0.000
 , , , , 
KSLC Downscaled SREF Init: 2020-06-13 0900 UTC, PoP (%), PQPF 10/50/90 (in), PoS (%), PQSF 10/50/90 (in)
Period 1 (2020-06-13 18:00:00 – 2020-06-14 00:00:00), 0,  0.000   0.000   0.000, 0,  0.000   0.000   0.000
Period 2 (2020-06-15 00:00:00 – 2020-06-15 00:00:00), 0,  0.000   0.000   0.000, 0,  0.000   0.000   0.000
 , , , , 
KSLC Downscaled SREF Init: 2020-06-13 0300 UTC, PoP (%), PQPF 10/50/90 (in), PoS (%), PQSF 10/50/90 (in)
Period 1 (2020-06-13 18:00:00 – 2020-06-14 00:00:00), 0,  0.000   0.000   0.000, 0,  0.000   0.000   0.000
Period 2 (2020-06-15 00:00:00 – 2020-06-15 00:00:00), 4,  0.000   0.000   0.000, 0,  0.000   0.000   0.000
 , , , , 
KSLC Downscaled SREF Init: 2020-06-12 2100 UTC, PoP (%), PQPF 10/50/90 (in), PoS (%), PQSF 10/50/90 (in)
Period 1 (2020-06-13 18:00:00 – 2020-06-14 00:00:00), 0,  0.000   0.000   0.000, 0,  0.000   0.000   0.000
Period 2 (2020-06-15 00:00:00 – 2020-06-15 00:00:00), 0,  0.000   0.000   0.000, 0,  0.000   0.000   0.000
 , , , , 
KSLC Downscaled SREF Init: 2020-06-12 1500 UTC, PoP (%), PQPF 10/50/90 (in), PoS (%), PQSF 10/50/90 (in)
Period 1 (2020-06-12 18:00:00 – 2020-06-13 00:00:00), 0,  0.000   0.000   0.000, 0,  0.000   0.000   0.000
Period 2 (2020-06-14 00:00:00 – 2020-06-14 00:00:00), 0,  0.000   0.000   0.000, 0,  0.000   0.000   0.000
 , , , , 
KSLC Downscaled SREF Init: 2020-06-12 0900 UTC, PoP (%), PQPF 10/50/90 (in), PoS (%), PQSF 10/50/90 (in)
Period 1 (2020-06-12 18:00:00 – 2020-06-13 00:00:00), 0,  0.000   0.000   0.000, 0,  0.000   0.000   0.000
Period 2 (2020-06-14 00:00:00 – 2020-06-14 00:00:00), 0,  0.000   0.000   0.000, 0,  0.000   0.000   0.000
 , , , , 
KSLC Downscaled SREF Init: 2020-06-12 0300 UTC, PoP (%), PQPF 10/50/90 (in), PoS (%), PQSF 10/50/90 (in)
Period 1 (2020-06-12 18:00:00 – 2020-06-13 00:00:00), 0,  0.000   0.000   0.000, 0,  0.000   0.000   0.000
Period 2 (2020-06-14 00:00:00 – 2020-06-14 00:00:00), 0,  0.000   0.000   0.000, 0,  0.000   0.000   0.000
 , , , , 
KSLC Downscaled SREF Init: 2020-06-11 2100 UTC, PoP (%), PQPF 10/50/90 (in), PoS (%), PQSF 10/50/90 (in)
Period 1 (2020-06-12 18:00:00 – 2020-06-13 00:00:00), 0,  0.000   0.000   0.000, 0,  0.000   0.000   0.000
Period 2 (2020-06-14 00:00:00 – 2020-06-14 00:00:00), 0,  0.000   0.000   0.000, 0,  0.000   0.000   0.000
 , , , , 
KSLC Downscaled SREF Init: 2020-06-11 1500 UTC, PoP (%), PQPF 10/50/90 (in), PoS (%), PQSF 10/50/90 (in)
Period 1 (2020-06-11 18:00:00 – 2020-06-12 00:00:00), 0,  0.000   0.000   0.000, 0,  0.000   0.000   0.000
Period 2 (2020-06-13 00:00:00 – 2020-06-13 00:00:00), 0,  0.000   0.000   0.000, 0,  0.000   0.000   0.000
 , , , , 
KSLC Downscaled SREF Init: 2020-06-11 0900 UTC, PoP (%), PQPF 10/50/90 (in), PoS (%), PQSF 10/50/90 (in)
Period 1 (2020-06-11 18:00:00 – 2020-06-12 00:00:00), 0,  0.000   0.000   0.000, 0,  0.000   0.000   0.000
Period 2 (2020-06-13 00:00:00 – 2020-06-13 00:00:00), 0,  0.000   0.000   0.000, 0,  0.000   0.000   0.000
 , , , , 
KSLC Downscaled SREF Init: 2020-06-11 0300 UTC, PoP (%), PQPF 10/50/90 (in), PoS (%), PQSF 10/50/90 (in)
Period 1 (2020-06-11 18:00:00 – 2020-06-12 00:00:00), 0,  0.000   0.000   0.000, 0,  0.000   0.000   0.000
Period 2 (2020-06-13 00:00:00 – 2020-06-13 00:00:00), 0,  0.000   0.000   0.000, 0,  0.000   0.000   0.000
 , , , , 
KSLC Downscaled SREF Init: 2020-06-10 2100 UTC, PoP (%), PQPF 10/50/90 (in), PoS (%), PQSF 10/50/90 (in)
Period 1 (2020-06-11 18:00:00 – 2020-06-12 00:00:00), 0,  0.000   0.000   0.000, 0,  0.000   0.000   0.000
Period 2 (2020-06-13 00:00:00 – 2020-06-13 00:00:00), 0,  0.000   0.000   0.000, 0,  0.000   0.000   0.000
 , , , , 
KSLC Downscaled SREF Init: 2020-06-10 0900 UTC, PoP (%), PQPF 10/50/90 (in), PoS (%), PQSF 10/50/90 (in)
Period 1 (2020-06-10 18:00:00 – 2020-06-11 00:00:00), 0,  0.000   0.000   0.000, 0,  0.000   0.000   0.000
